day,subject,trial,s1,s2,c,r,stim_l,stim_r,stake,s1L
1,0hc5jby300,84.0,4,4.0,4,3.6,4,3,5,0
1,0hc5jby300,84.0,2,2.0,4,27.0,4,3,1,0
1,0hc5jby300,85.0,1,1.0,1,12.0,2,1,1,0
1,0hc5jby300,85.0,3,4.0,2,4.8,1,2,5,1
1,0hc5jby300,86.0,3,3.0,1,0.0,2,1,5,0
1,0hc5jby300,86.0,2,2.0,4,15.0,4,3,1,0
1,0hc5jby300,87.0,3,4.0,2,3.6,2,1,5,0
1,0hc5jby300,87.0,1,2.0,2,15.0,2,1,1,0
1,0hc5jby300,88.0,1,2.0,2,9.0,2,1,1,0
1,0hc5jby300,88.0,4,3.0,3,1.8,3,4,5,1
1,0hc5jby300,89.0,4,4.0,4,3.0,4,3,5,0
1,0hc5jby300,89.0,1,2.0,2,9.0,2,1,1,0
1,0hc5jby300,90.0,3,3.0,1,1.8,1,2,5,1
1,0hc5jby300,90.0,2,2.0,4,9.0,4,3,1,0
1,0hc5jby300,91.0,3,3.0,1,1.8,1,2,5,1
1,0hc5jby300,91.0,2,2.0,4,6.0,4,3,1,0
1,0hc5jby300,92.0,4,4.0,4,3.6,4,3,5,0
1,0hc5jby300,92.0,2,1.0,3,21.0,3,4,1,1
1,0hc5jby300,93.0,3,4.0,2,3.6,2,1,5,0
1,0hc5jby300,93.0,1,1.0,1,12.0,1,2,1,1
1,0hc5jby300,94.0,1,1.0,1,6.0,1,2,1,1
1,0hc5jby300,94.0,4,4.0,4,5.4,4,3,5,0
1,0hc5jby300,95.0,3,4.0,2,1.8,2,1,5,0
1,0hc5jby300,95.0,2,1.0,3,0.0,3,4,1,1
1,0hc5jby300,96.0,1,2.0,2,6.0,2,1,1,0
1,0hc5jby300,96.0,4,3.0,3,2.4,3,4,5,1
1,0hc5jby300,97.0,2,1.0,3,0.0,3,4,1,1
1,0hc5jby300,97.0,3,4.0,2,2.4,2,1,5,0
1,0hc5jby300,98.0,3,4.0,2,3.0,2,1,5,0
1,0hc5jby300,98.0,1,2.0,2,0.0,2,1,1,0
1,0hc5jby300,99.0,2,1.0,3,18.0,3,4,1,1
1,0hc5jby300,99.0,3,4.0,2,1.8,2,1,5,0
1,0hc5jby300,100.0,3,4.0,2,2.4,2,1,5,0
1,0hc5jby300,100.0,1,1.0,1,15.0,1,2,1,1
1,73trwhc400,1.0,1,1.0,1,18.0,2,1,1,0
1,73trwhc400,1.0,4,3.0,3,2.4,4,3,5,0
1,73trwhc400,2.0,4,4.0,4,0.0,3,4,5,1
1,73trwhc400,2.0,2,2.0,4,12.0,4,3,1,0
